"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Pclaf",1.18336619331338e-93,1.09199920079336,0.803,0.232,5.99374976913224e-90
"Birc5",2.28367176533425e-93,0.973804423501746,0.818,0.256,1.1566797491418e-89
"Hmgb2",3.90122198413766e-85,0.933922272603227,0.979,0.629,1.97596893496572e-81
"Ube2c",1.70733525469942e-81,1.2757662276016,0.736,0.251,8.64765306505255e-78
"Tuba1b",9.32701027853282e-81,0.971442583855247,0.942,0.52,4.72413070607687e-77
"Cdk1",1.09740994930532e-74,0.804954134751998,0.612,0.14,5.55838139323144e-71
"Ccna2",2.1994079121389e-69,0.594928989049419,0.539,0.105,1.11400010749835e-65
"Top2a",2.29133629442123e-67,0.75017763495293,0.673,0.188,1.16056183312435e-63
"Cdca8",2.94802421381133e-64,0.667184295001775,0.585,0.139,1.49317426429544e-60
"Pbk",8.39101467065351e-63,0.536740740828787,0.488,0.095,4.25004893068601e-59
"Smc4",7.42796420274117e-62,0.698130783121104,0.567,0.144,3.7622638686884e-58
"Spc24",1.48751498936632e-61,0.658446969325613,0.691,0.215,7.53426342114042e-58
"Tk1",5.10887593742813e-60,0.616173560596095,0.615,0.171,2.58764566230735e-56
"Kif22",1.76294201595018e-58,0.612795266329527,0.385,0.056,8.92930131078765e-55
"Ube2s",4.45040138734611e-58,0.73997060900597,0.93,0.578,2.25412830269081e-54
"Cdc20",1.29221570336609e-57,0.744402853620974,0.555,0.145,6.54507253754927e-54
"H2afx",6.44575786520784e-57,0.860145722739777,0.721,0.286,3.26477635872777e-53
"Cdca3",1.64072033547868e-56,0.693557781124513,0.709,0.265,8.31024849919954e-53
"Racgap1",2.08565807499079e-56,0.542063437362105,0.409,0.07,1.05638581498283e-52
"Asf1b",2.22236031117986e-54,0.481919417099105,0.385,0.062,1.1256254976126e-50
"Mki67",2.6919254616462e-54,0.636845465410957,0.606,0.172,1.3634602463238e-50
"Aurkb",2.15053393208149e-53,0.454016507304201,0.348,0.049,1.08924543659927e-49
"Aurka",3.3467737915369e-52,0.421421650731082,0.361,0.056,1.69514092541344e-48
"Cks2",9.06384485035496e-52,0.652177944663073,0.764,0.341,4.59083741670479e-48
"Kif23",6.7678832808612e-51,0.428893052568358,0.403,0.074,3.4279328817562e-47
"Smc2",1.17597050322537e-49,0.405520757364798,0.382,0.068,5.95629059883647e-46
"Tpx2",3.65578385837061e-49,0.450698169037685,0.321,0.046,1.85165452426471e-45
"Ccnb1",7.26289789207156e-49,0.565623275926259,0.436,0.098,3.67865778233424e-45
"Cenpf",3.78498635927535e-48,0.541277141775259,0.342,0.056,1.91709559097296e-44
"Tyms",1.13841841522226e-47,0.623395294967024,0.679,0.253,5.76608927310074e-44
"Plk1",1.74324394658832e-47,0.40209804343734,0.376,0.068,8.82953058946984e-44
"Ran",2.47340426090114e-47,0.517098044248109,0.964,0.763,1.25277925814643e-43
"Stmn1",3.05771198973856e-47,0.663866821016871,0.964,0.64,1.54873112280258e-43
"Cks1b",3.66101262793925e-47,0.502373965937267,0.521,0.149,1.85430289605123e-43
"Tubb5",1.05491721637981e-45,0.716523811617218,0.897,0.505,5.34315570096373e-42
"Hsp90aa1",2.42670583234352e-45,0.540508010144912,0.97,0.708,1.22912650408199e-41
"Cenpa",1.39760831066129e-44,0.655836931463884,0.627,0.225,7.07888609349941e-41
"Lockd",1.59379553100779e-44,0.470678744870649,0.476,0.126,8.07257436455444e-41
"Ccdc34",3.51479369842714e-44,0.625714436692324,0.794,0.393,1.78024300825334e-40
"Ranbp1",2.18709562482706e-43,0.515995310919473,0.958,0.71,1.10776393397491e-39
"Rrm2",2.41397880841933e-43,0.488288253663548,0.37,0.077,1.22268026646439e-39
"Ccnb2",5.64974083649353e-43,0.492232464454996,0.621,0.22,2.86159373368397e-39
"Incenp",1.30096849902985e-42,0.395986183825037,0.358,0.071,6.5894054475862e-39
"Tacc3",1.93072478262177e-41,0.388331773370476,0.4,0.093,9.77912102397927e-38
"Mis18a",4.48697250773649e-41,0.331544248890021,0.37,0.078,2.27265157516853e-37
