"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Defa3",1.56501370572234e-106,4.07239037164271,0.929,0.078,7.92679441948366e-103
"Clps",3.1684351896563e-98,3.33106800635796,0.929,0.087,1.60481242356092e-94
"Mmp7",1.72235703611798e-71,2.93634886386516,0.982,0.16,8.72373838793757e-68
"Gm7861",4.45913400709191e-71,4.76755233561338,1,0.184,2.25855137459205e-67
"Ang4",7.82440999714645e-60,4.40623146714126,0.982,0.226,3.96306366355468e-56
"Mptx2",1.03986957268122e-59,4.5441005066035,0.946,0.198,5.26693938563036e-56
"Reg4",2.85139033100504e-54,2.25271050576818,0.839,0.143,1.44422920265405e-50
"Defa17",1.33767522026163e-49,4.14957560432232,1,0.334,6.77532499062518e-46
"Defa37",3.07374051710787e-47,4.71350430965158,1,0.373,1.55684957191514e-43
"Defa29",4.6085601043054e-47,4.74903496426404,1,0.376,2.33423569283069e-43
"Gm14851",2.48221615631378e-45,4.70089474164542,1,0.393,1.25724248317293e-41
"Defa22",8.09662602133202e-43,4.62712470753034,1,0.446,4.10094107980467e-39
"Ccl6",1.45048828232158e-42,1.79711720120622,0.857,0.185,7.34672314995881e-39
"Defa32",3.10211663327147e-41,4.55189280243992,0.946,0.356,1.571222074752e-37
"Defa21",3.47289755794201e-41,4.60903098317724,1,0.458,1.75902261309763e-37
"AY761184",1.35226493736256e-39,4.46350321853471,1,0.562,6.84922190774138e-36
"Itln1",3.82254406243166e-39,4.17093552076634,1,0.605,1.93611856762163e-35
"Defa30",3.29168829724138e-38,4.33109064417466,1,0.677,1.66724012255276e-34
"Lyz1",1.51759910208282e-37,4.17120081445695,1,0.756,7.68663945204951e-34
"Defa20",3.17114987655625e-37,4.54081283572883,0.964,0.475,1.60618741247574e-33
"Spink4",1.18416053913726e-29,1.68274921165462,1,0.771,5.99777313073021e-26
"Rps27",4.24631768075025e-27,-1.50049811877135,0.5,0.965,2.1507599053e-23
"Cox4i1",8.06057447296055e-27,-1.07967908971549,0.786,0.996,4.08268097055452e-23
"Fau",1.72370346365112e-26,-1.17613324179867,0.679,0.983,8.73055804339293e-23
"Cox6a1",2.33343898456147e-26,-1.28233226616827,0.643,0.976,1.18188684568039e-22
"Rps11",5.00127908744721e-26,-1.16058904713918,0.786,0.987,2.53314785779201e-22
"Rps29",1.84550886850616e-25,-1.29330863162657,0.536,0.962,9.34750241898372e-22
"Rpl28",2.704148660619e-25,-1.43689759311777,0.554,0.949,1.36965129660353e-21
"Rpl6",7.06451537021466e-25,-1.39873094419058,0.607,0.956,3.57817703501373e-21
